S_0,S_1,I_0,I_1,I_2,I_3,ch1,ch2,ch3,ch4,GFP1,GFP2,GFP3,GFP4
1,0,0,0,1,0,870177.83,870177.83,1401.31,4731.50,1.00,1.00,65.31,2.01
1,0,0,0,1,1,870177.83,870177.83,1401.31,2816.34,1.00,1.00,65.31,9.64
1,0,0,1,0,0,870177.83,870177.83,3254.53,4731.50,1.00,1.00,5.84,2.01
1,0,0,1,0,1,870177.83,870177.83,3254.53,2816.34,1.00,1.00,5.84,9.64
1,0,0,1,1,0,870177.83,870177.83,1401.31,4731.50,1.00,1.00,65.31,2.01
1,0,0,1,1,1,870177.83,870177.83,1401.31,2816.34,1.00,1.00,65.31,9.64
1,0,1,0,0,0,870177.83,870177.83,3254.53,4731.50,1.00,1.00,5.84,2.01
1,0,1,0,0,1,870177.83,870177.83,3254.53,2816.34,1.00,1.00,5.84,9.64
1,0,1,0,1,0,870177.83,870177.83,1401.31,4731.50,1.00,1.00,65.31,2.01
1,0,1,0,1,1,870177.83,870177.83,1401.31,2816.34,1.00,1.00,65.31,9.64
1,0,1,1,0,0,870177.83,870177.83,3254.53,4731.50,1.00,1.00,5.84,2.01
1,0,1,1,0,1,870177.83,870177.83,3254.53,2816.34,1.00,1.00,5.84,9.64
1,0,1,1,1,0,870177.83,870177.83,1401.31,4731.50,1.00,1.00,65.31,2.01
1,0,1,1,1,1,870177.83,870177.83,1401.31,2816.34,1.00,1.00,65.31,9.64
1,1,0,0,0,0,870177.83,870177.83,3254.53,4731.50,1.00,1.00,5.84,2.01
1,1,0,0,0,1,870177.83,870177.83,3254.53,1219.20,1.00,1.00,5.84,76.83
1,1,0,0,1,0,870177.83,870177.83,2393.54,4731.50,1.00,1.00,16.95,2.01
1,1,0,0,1,1,870177.83,870177.83,2393.54,1219.20,1.00,1.00,16.95,76.83
1,1,0,1,0,0,870177.83,870177.83,3254.53,4731.50,1.00,1.00,5.84,2.01
1,1,0,1,0,1,870177.83,870177.83,3254.53,1219.20,1.00,1.00,5.84,76.83
1,1,0,1,1,0,870177.83,870177.83,2393.54,4731.50,1.00,1.00,16.95,2.01
1,1,0,1,1,1,870177.83,870177.83,2393.54,1219.20,1.00,1.00,16.95,76.83
1,1,1,0,0,0,870177.83,870177.83,3254.53,4731.50,1.00,1.00,5.84,2.01
1,1,1,0,0,1,870177.83,870177.83,3254.53,1219.20,1.00,1.00,5.84,76.83
1,1,1,0,1,0,870177.83,870177.83,2393.54,4731.50,1.00,1.00,16.95,2.01
1,1,1,0,1,1,870177.83,870177.83,2393.54,1219.20,1.00,1.00,16.95,76.83
1,1,1,1,0,0,870177.83,870177.83,3254.53,4731.50,1.00,1.00,5.84,2.01
1,1,1,1,0,1,870177.83,870177.83,3254.53,1219.20,1.00,1.00,5.84,76.83
1,1,1,1,1,0,870177.83,870177.83,2393.54,4731.50,1.00,1.00,16.95,2.01
1,1,1,1,1,1,870177.83,870177.83,2393.54,1219.20,1.00,1.00,16.95,76.83
